OLD,NEW,NEW (in new domain),Permanent,Notes
https://docs.cow.fi/cow-sdk,https://beta.docs.cow.fi/cow-protocol/reference/sdks/cow-sdk,https://docs.cow.fi/cow-protocol/reference/sdks/cow-sdk,Y,
https://docs.cow.fi/cow-sdk/cow-api,https://learn.cow.fi/tutorial/getting-started-order,https://learn.cow.fi/tutorial/getting-started-order,Y,
https://docs.cow.fi/cow-sdk/getting-started-with-the-sdk,https://learn.cow.fi/tutorial/getting-started-order,https://learn.cow.fi/tutorial/getting-started-order,Y,
https://docs.cow.fi/cow-sdk/order-meta-data-appdata,https://learn.cow.fi/tutorial/simple-app-data,https://learn.cow.fi/tutorial/simple-app-data,Y,
https://docs.cow.fi/cow-sdk/querying-the-cow-subgraph,https://learn.cow.fi/tutorial/getting-started-order,https://learn.cow.fi/tutorial/getting-started-order,N,"Doesn't exist yet, redirects to tutorial home"
https://docs.cow.fi/cow-sdk/sign-and-post-orders,https://learn.cow.fi/tutorial/sign-order,https://learn.cow.fi/tutorial/sign-order,Y,
https://docs.cow.fi/front-end/cow-explorer,https://beta.docs.cow.fi/cow-protocol/tutorials/cow-explorer,https://docs.cow.fi/cow-protocol/tutorials/cow-explorer,Y,
https://docs.cow.fi/front-end/cow-protocol-custom-linking,https://beta.docs.cow.fi/cow-protocol/tutorials/cow-swap,https://docs.cow.fi/cow-protocol/tutorials/cow-swap,N,New content coming soon (TM)
https://docs.cow.fi/front-end/cowswap,https://beta.docs.cow.fi/cow-protocol/tutorials/cow-swap,https://docs.cow.fi/cow-protocol/tutorials/cow-swap,Y,
https://docs.cow.fi/front-end/creating-app-ids,https://learn.cow.fi/tutorial/simple-app-data,https://learn.cow.fi/tutorial/simple-app-data,Y,
https://docs.cow.fi/front-end/introduction,https://beta.docs.cow.fi/cow-protocol/tutorials/cow-swap,https://docs.cow.fi/cow-protocol/tutorials/cow-swap,Y,
https://docs.cow.fi/off-chain-services/api,https://beta.docs.cow.fi/cow-protocol/reference/apis/orderbook,https://docs.cow.fi/cow-protocol/reference/apis/orderbook,Y,
https://docs.cow.fi/off-chain-services/introduction,https://beta.docs.cow.fi/cow-protocol/tutorials/arbitrate,https://docs.cow.fi/cow-protocol/tutorials/arbitrate,Y,
https://docs.cow.fi/overview/batch-auctions,https://beta.docs.cow.fi/cow-protocol/concepts/introduction/batch-auctions,https://docs.cow.fi/cow-protocol/concepts/introduction/batch-auctions,Y,
https://docs.cow.fi/overview/coincidence-of-wants,https://beta.docs.cow.fi/cow-protocol/concepts/how-it-works/coincidence-of-wants,https://docs.cow.fi/cow-protocol/concepts/how-it-works/coincidence-of-wants,Y,
https://docs.cow.fi/overview/cow-hooks,https://beta.docs.cow.fi/cow-protocol/concepts/order-types/cow-hooks,https://docs.cow.fi/cow-protocol/concepts/order-types/cow-hooks,Y,
https://docs.cow.fi/overview/introduction,https://beta.docs.cow.fi/cow-protocol/concepts/introduction/intents,https://docs.cow.fi/cow-protocol,Y,
https://docs.cow.fi/overview/learnings-and-improvements-of-gpv1,https://beta.docs.cow.fi/cow-protocol,https://docs.cow.fi/cow-protocol,Y,"Doesn't exist, routed back to home"
https://docs.cow.fi/overview/road-to-decentralization,https://beta.docs.cow.fi/cow-protocol,https://docs.cow.fi/cow-protocol,Y,"Doesn't exist, routed back to home"
https://docs.cow.fi/overview/signed-orders,https://beta.docs.cow.fi/cow-protocol/concepts/introduction/intents#,https://docs.cow.fi/cow-protocol/concepts/introduction/intents#,Y,"Doesn't exist, routed to nearest (ie. intents)"
https://docs.cow.fi/smart-contracts/allow-list-authenticator-1,https://beta.docs.cow.fi/cow-protocol/reference/contracts/core/allowlist,https://docs.cow.fi/cow-protocol/reference/contracts/core/allowlist,Y,
https://docs.cow.fi/smart-contracts/eth-flow-contract,https://beta.docs.cow.fi/cow-protocol/reference/contracts/periphery/eth-flow,https://docs.cow.fi/cow-protocol/reference/contracts/periphery/eth-flow,Y,
https://docs.cow.fi/smart-contracts/introduction,https://beta.docs.cow.fi/cow-protocol/reference/contracts/core,https://docs.cow.fi/cow-protocol/reference/contracts/core,Y,
https://docs.cow.fi/smart-contracts/programmatic-order-framework,https://beta.docs.cow.fi/cow-protocol/reference/contracts/periphery/composable-cow,https://docs.cow.fi/cow-protocol/reference/contracts/periphery/composable-cow,Y,
https://docs.cow.fi/smart-contracts/settlement-contract,https://beta.docs.cow.fi/cow-protocol/reference/contracts/core/settlement,https://docs.cow.fi/cow-protocol/reference/contracts/core/settlement,Y,
https://docs.cow.fi/smart-contracts/vault-relayer,https://beta.docs.cow.fi/cow-protocol/reference/contracts/core/vault-relayer,https://docs.cow.fi/cow-protocol/reference/contracts/core/vault-relayer,Y,
https://docs.cow.fi/solvers/how-to-build-a-solver,https://beta.docs.cow.fi/cow-protocol/tutorials/solvers,https://docs.cow.fi/cow-protocol/tutorials/solvers,N,"Doesn't exist yet, routed to sovlers section of tutorials (where it will be created)"
https://docs.cow.fi/solvers/in-depth-solver-specification,https://beta.docs.cow.fi/cow-protocol/reference/core/auctions/the-problem,https://docs.cow.fi/cow-protocol/reference/core/auctions,Y,
https://docs.cow.fi/solvers/solvers,https://beta.docs.cow.fi/cow-protocol/tutorials/solvers,https://docs.cow.fi/cow-protocol/tutorials/solvers,Y,
https://docs.cow.fi/tutorials/build-on-top-of-cow-protocol,https://beta.docs.cow.fi/cow-protocol/tutorials/building,https://docs.cow.fi/cow-protocol/tutorials/building,Y,
https://docs.cow.fi/tutorials/cowswap-trades-with-a-gnosis-safe-wallet,https://learn.cow.fi/tutorial/create-pre-signed-order,https://learn.cow.fi/tutorial/create-pre-signed-order,Y,
https://docs.cow.fi/tutorials/how-to-place-erc-1271-smart-contract-orders,https://learn.cow.fi/tutorial/getting-started-order,https://learn.cow.fi/tutorial/getting-started-order,N,"Doesn't exist yet, redirects to tutorial home"
https://docs.cow.fi/tutorials/how-to-submit-orders-via-the-api,https://learn.cow.fi/tutorial/getting-started-order,https://learn.cow.fi/tutorial/getting-started-order,Y,
https://docs.cow.fi/tutorials/onchain-order-cancellation,https://learn.cow.fi/tutorial/cancel-on-chain-order,https://learn.cow.fi/tutorial/cancel-on-chain-order,Y,
https://docs.cow.fi/tutorials/submit-limit-orders-via-api,https://learn.cow.fi/tutorial/submit-order,https://learn.cow.fi/tutorial/submit-order,Y,
https://docs.cow.fi/widget/get-started,https://beta.docs.cow.fi/cow-protocol/tutorials/widget,https://docs.cow.fi/cow-protocol/tutorials/widget,Y,
https://docs.cow.fi/cow-sdk/order-meta-data-appdata/bonus-cidv0-and-appdata,https://learn.cow.fi/tutorial/simple-app-data,https://learn.cow.fi/tutorial/simple-app-data,Y,
https://docs.cow.fi/cow-sdk/order-meta-data-appdata/create-a-meta-data-document,https://learn.cow.fi/tutorial/simple-app-data,https://learn.cow.fi/tutorial/simple-app-data,Y,
https://docs.cow.fi/cow-sdk/order-meta-data-appdata/download-a-document-given-the-appdata,https://learn.cow.fi/tutorial/view-app-data,https://learn.cow.fi/tutorial/view-app-data,Y,
https://docs.cow.fi/cow-sdk/order-meta-data-appdata/get-the-appdata-hex,https://learn.cow.fi/tutorial/simple-app-data,https://learn.cow.fi/tutorial/simple-app-data,Y,
https://docs.cow.fi/cow-sdk/order-meta-data-appdata/upload-document-to-ipfs,https://learn.cow.fi/tutorial/simple-app-data,https://learn.cow.fi/tutorial/simple-app-data,Y,
https://docs.cow.fi/cow-sdk/sign-and-post-orders/bonus-show-link-to-explorer,https://learn.cow.fi/tutorial/view-order,https://learn.cow.fi/tutorial/view-order,Y,
https://docs.cow.fi/cow-sdk/sign-and-post-orders/enable-tokens,https://learn.cow.fi/tutorial/approve-sell-token-order,https://learn.cow.fi/tutorial/approve-sell-token-order,Y,
https://docs.cow.fi/cow-sdk/sign-and-post-orders/step-1-get-market-price,https://learn.cow.fi/tutorial/quote-order,https://learn.cow.fi/tutorial/quote-order,Y,
https://docs.cow.fi/cow-sdk/sign-and-post-orders/step-2-sign-the-order,https://learn.cow.fi/tutorial/sign-order,https://learn.cow.fi/tutorial/sign-order,Y,
https://docs.cow.fi/cow-sdk/sign-and-post-orders/step-3-post-the-signed-order-to-the-api,https://learn.cow.fi/tutorial/submit-order,https://learn.cow.fi/tutorial/submit-order,Y,
https://docs.cow.fi/front-end/creating-app-ids/choose-the-appcode-for-the-app,https://learn.cow.fi/tutorial/simple-app-data,https://learn.cow.fi/tutorial/simple-app-data,Y,
